Accession,Organism_Name,GenBank_RefSeq,Assembly,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Length,Nuc_Completeness,Geo_Location,USA,Host,Tissue_Specimen_Source,Collection_Date
KR733218.1,Influenza B virus (B/Taiwan/01403/2006),GenBank,set:9802fbea9398894c8da124dabe92a6ec593ff008,"Shih,S.-R., Velu,A.B., Kuo,S.-M., Dash,S., Chen,G.-W., Han,Y.-J., Tsao,K.-C.","Chang Gung University, Research Center of Viral Infections",Taiwan,2016-01-01,,Betainfluenzavirus influenzae,1454,complete,"Taiwan: Clinical Virology Laboratory, Linkou Chang Gung Memorial Hospital",,Homo sapiens,,2006-06-17
PP506139.1,Poliovirus 1,GenBank,,"Ben Salem,I., Khemiri,H., Drechsel,O., Arbi,M., Bottcher,S., Mekki,N., Ben Fraj,I., Souiai,O., Yahyaoui,M., Ben Farhat,E., Meddeb,Z., Touzi,H., Ben Mustapha,I., BenKahla,A., Ouederni,M., Barbouche,M.R., Diedrich,S., Triki,H., Haddad-Boubaker,S.","Pasteur Institute of Tunis, Clinical Virology Laboratory",Tunisia,2024-09-30,S326/09,Enterovirus C,7441,complete,Tunisia,,Homo sapiens,feces,2009-10-28
MN769098.1,Torque teno hominid virus 2,GenBank,,"Cordey,S., Laubscher,F., Hartley,M.A., Junier,T., Keitel,K., Docquier,M., Guex,N., Iseli,C., Vieille,G., Le Mercier,P., Gleizes,A., Samaka,J., Mlaganile,T., Kagoro,F., Masimba,J., Said,Z., Temba,H., Elbanna,G.H., Tapparel,C., Zanella,M.C., Xenarios,I., Fellay,J., D'Acremont,V., Kaiser,L., Hartley,M.-A., Zanella,M.-C.","University Hospitals of Geneva, Laboratory of Virology",Switzerland,2021-12-19,SAfiA-232-21,Hetorquevirus hominid2,2918,complete,Tanzania,,Homo sapiens,,2015
OR988088.1,Eastern equine encephalitis virus,GenBank,,"Hughes,H.R., Lambert,A.J., Davis,E.H., Velez,J.O.","Centers for Disease Control and Prevention, Division of Vector-borne Diseases",USA,2024-01-02,R135167b,Eastern equine encephalitis virus,11681,complete,USA: Alabama,AL,Homo sapiens,,2023-08
KC409265.1,Norovirus Hu/GII/20180/2009/VNM,GenBank,set:KC409265,"Madupu,R., Halpin,R.A., Ransier,A., Fedorova,N., Tsitrin,T., McLellan,M., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., My,P.V., Campbell,J., Farrar,J., Vinh,H., Hoang,N.V., Wentworth,D.E., Baker,S.",J. Craig Venter Institute,USA,2013-02-16,,Norwalk virus,7511,complete,Viet Nam: Ho Chi Minh City,,Homo sapiens,,2009-09-30
KF849784.1,Influenza A virus (A/Thailand/SrirajICRC_BKK_10/2010(H1N1)),GenBank,set:ceb65574a306283c5db49b9a26c4b50b16f7d18a,"Rattanarojpong,T., Wongprompitak,P., Pooruk,P., Lerdsamran,H., Phawong,C., Tassaneetrithep,B., Kongyu,S., Iamsirithaworn,S., Puthavathana,P.","King's Mongkut University of Technology Thonburi, Microbiolgy",Thailand,2014-08-29,,Alphainfluenzavirus influenzae,1701,complete,Thailand,,Homo sapiens,oronasopharynx,2010-09-01
KC013592.1,Norovirus Hu/GII.4/HS191/2004/USA,GenBank,set:KC013592,"Sosnovtsev,S.V., Bok,K., Wang,Q., Saif,L.J., Green,K.Y.","NIAID/NIH, LID",USA,2012-12-16,,Norwalk virus,7556,complete,USA,,Homo sapiens,,2004
EF467804.1,Influenza A virus (A/Thailand/SP83/2004(H5N1)),GenBank,GCA_038228365.1,"Matsuoka,Y.",Centers for Disease Control and Prevention,USA,2007-03-11,,Alphainfluenzavirus influenzae,2341,complete,Thailand: Suphanburi Province,,Homo sapiens,,2004
NC_007366.1,Influenza A virus (A/New York/392/2004(H3N2)),RefSeq,GCF_000865085.1,"Ghedin,E., Miller,N., Zaborsky,J., Feldblyum,T., Subbu,V., Shumway,M., Sitz,J., Kosack,D., Koo,H., Salzberg,S.L., Griesemer,S., St. George,K., Bennett,R., Taylor,J., Bao,Y., Bolotov,P., Dernovoy,D., Lipman,D.J., Tatusova,T.","National Center for Biotechnology Information, NIH",USA,2005-08-30,,Alphainfluenzavirus influenzae,1762,complete,"USA: Tompkins County, NY",NY,Homo sapiens,,2004-12-21
JQ431201.1,Influenza A virus (A/Reunion/0116-3-M2E/2009(H1N1)),GenBank,set:5f782fd029999717ab1a3fb12201964fd5ef4f9a,"Pascalis,H., Temmam,S., Wilkinson,D.A., Dsouli,N., Turpin,M., de Lamballerie,X., Dellagi,K.",CRVOI,France,2012-09-15,,Alphainfluenzavirus influenzae,1701,complete,France: Reunion Island,,Homo sapiens,oronasopharynx,2009-09-07
JN588782.1,Influenza A virus (A/Cambodia/T217/2009(H1N1)),GenBank,set:3cfbeda3caaee8a6dde46e2436e7944ca31d9c25,"Mardy,S., Ly,S., Heng,S., Naughtin,M., Vong,S., Kitsutani,P., Vanra,I., Rith,S., Tarantola,A., Sar,B., Nora,C., Sokhal,B., Se,Y., Timmermans,A., Lon,C., Barr,I., Kelso,A., Tyner,S., Saunders,D., Ung,S.A., Asgari,N., Touch,S., Buchy,P.","Institut Pasteur in Cambodia, Virology Unit",Cambodia,2011-11-01,,Alphainfluenzavirus influenzae,1701,complete,Cambodia: Kandal,,Homo sapiens,,2009-08-30
KP638492.1,Influenza A virus (A/Vietnam/36285/2010(H5N1)),GenBank,set:72c395092877c4eb067754cde8617c28f0a170c4,"Yamaji,R., Yamada,S., Le,M.Q., Ito,M., Sakai-Tagawa,Y., Kawaoka,Y.","Institute of Medical Science, University of Tokyo, Division of Virology, Department of Microbiology and Immunology",Japan,2015-02-14,,Alphainfluenzavirus influenzae,2341,complete,Viet Nam,,Homo sapiens,,2010-04-02
EF456777.1,Influenza B virus (B/Hong Kong/8/1973),GenBank,set:2bcac51ac2b4489e8c940d076ee6eef5f3ea7b47,"McCullers,J.A.",St. Jude Children's Research Hospital,USA,2007-03-05,,Betainfluenzavirus influenzae,1730,complete,,,Homo sapiens,,1973
OP711971.1,human papillomavirus 69,GenBank,,"Coppee,R., Ferre,V.M., Gbeasor-Komlanvi,F.A., Vacher,S., Bucau,M., Salou,M., Lameiras,S., Couvelard,A., Claver Dagnra,A., Bieche,I., Descamps,D., Ekouevi,D.K., Ghosn,J., Charpentier,C.","Universite Paris Cite, Inserm UMR1137",France,2023-11-24,L324R554_HPV69,Alphapapillomavirus 5,7705,complete,Togo,,Homo sapiens,,2017-08
OM735642.1,Rubella virus genotype 1G,GenBank,,"Chen,M.-H., Suppiah,S., Abernathy,E., Icenogle,J.","Centers for Disease Control and Prevention, Viral Vaccine Preventable Diseases Branch",USA,2023-01-17,,Rubivirus rubellae,9760,complete,USA,,Homo sapiens,,2012
NC_078071.1,Cocle virus,RefSeq,GCF_013086615.1,"Palacios,G., Wiley,M.R., Travassos da Rosa,A.P., Guzman,H., Quiroz,E., Savji,N., Carrera,J.P., Bussetti,A.V., Ladner,J.T., Lipkin,W.I., Tesh,R.B., Wiley,M., Travassos da Rosa,A.P.A., Carrera,J.-P., Ladner,J., Test,R.B.","National Center for Biotechnology Information, NIH",USA,2023-05-06,,Phlebovirus cocleense,4352,complete,Panama,,Homo sapiens,,2009
MF588728.1,Gammapapillomavirus 16,GenBank,set:MF588728,"Pastrana,D.V., Peretti,A., Welch,N.L., Borgogna,C., Olivero,C., Badolato,R., Notarangelo,L.D., Gariglio,M., FitzGerald,P.C., McIntosh,C.E., Reeves,J., Starrett,G.J., Bliskovsky,V., Velez,D., Brownell,I., Yarchoan,R., Wyvill,K.M., Uldrick,T.S., Maldarelli,F., Lisco,A., Sereti,I., Gonzalez,C.M., Androphy,E.J., McBride,A.A., Van Doorslaer,K., Garcia,F., Dvoretzky,I., Liu,J.S., Han,J., Murphy,P.M., McDermott,D.H., Buck,C.B., McBride,A., Cho,E., Holland,S.M., Freeman,A.F.","National Cancer Institute, Laboratory of Cellular Oncology",USA,2017-11-08,Gamma16_w27c04c,Gammapapillomavirus 16,7209,complete,USA,,Homo sapiens,skin,2016-05
KJ943082.1,Influenza A virus (A/Santiago/p18d2/2013(H1N1)),GenBank,GCA_038690895.1,"Wentworth,D.E., Halpin,R.A., Bera,J., Akopov,A., Mohan,M., Fedorova,N., Tsitrin,T., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Medina,R.A., Ferres,M., Barrera,A., Budnik,I., Marco,C., Martinez-Valdebenito,C., Aravena,M., Gutierrez,C., Perez,R., Contreras,A., Garcia-Sastre,A.",J. Craig Venter Institute,USA,2014-07-13,,Alphainfluenzavirus influenzae,1721,complete,Chile: Los Lirios,,Homo sapiens,,2013-06-21
HQ325757.1,Influenza A virus (A/Sydney/867S/2007(H3N2)),GenBank,set:c56321c814be49ec6262a897dbf8d24b8612a537,"Wong,K.K., Bull,R.A., Stelzer-Braid,S., Fennell,M., Rawlinson,W., Wong,K.Y., Bull,R.","Prince of Wales Hospital, Virology Divison, Department of Microbiology",Australia,2011-05-27,,Alphainfluenzavirus influenzae,2280,complete,Australia,,Homo sapiens,,2007-01-24
KJ942983.1,Influenza A virus (A/Santiago/op17d1/2012(H3N2)),GenBank,GCA_038647675.1,"Wentworth,D.E., Halpin,R.A., Bera,J., Akopov,A., Mohan,M., Fedorova,N., Tsitrin,T., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Medina,R.A., Ferres,M., Barrera,A., Budnik,I., Marco,C., Martinez-Valdebenito,C., Aravena,M., Gutierrez,C., Perez,R., Contreras,A., Garcia-Sastre,A.",J. Craig Venter Institute,USA,2014-07-13,,Alphainfluenzavirus influenzae,1725,complete,Chile: Santiago,,Homo sapiens,,2012-06-02
LC209457.1,Norovirus Hu/GII/JP/2015/GII.P2_GII.2/Miyagi-63,GenBank,set:LC209457,"Mizukoshi,F., Nagasawa,K., Doan,Y.H., Haga,K., Yoshizumi,S., Ueki,Y., Shinohara,M., Ishikawa,M., Sakon,N., Shigemoto,N., Okamoto-Nakagawa,R., Ochi,A., Murakami,K., Ryo,A., Suzuki,Y., Katayama,K., Kimura,H., Matsushima,Y.","Division of Virology; Tonomachi 3-25-13, Kawasaki-ku, Kawasaki, Kanagawa 210-0821",Japan,2017-12-14,,Norwalk virus,7559,complete,Japan: Miyagi,,Homo sapiens,feces,2015
JN400614.1,Norovirus Hu/GII-4/CGMH16/2007/TW,GenBank,set:JN400614,"Tsai,C.N., Lin,C.Y., Lin,C.W., Shih,K.C., Chiu,C.H., Chen,S.Y., Tsai,C.-N., Lin,C.-Y., Lin,C.-W., Shih,K.-C., Chi,H.-C., Chao,H.-C., Lai,M.-W., Yu,T.-H., Chen,S.-Y., Chiu,C.-H.",Graduate Institute of clinical medical sciences,Taiwan,2012-07-08,,Norwalk virus,7509,complete,Taiwan,,Homo sapiens,feces,2007-01-07
HQ695925.1,Influenza A virus (A/Belgium/969/2002(H3N2)),GenBank,set:fa7090b67d2b11d2edba44528be8b50fea357a10,"Mohr,P.G., Geyer,H., McKimm-Breschkin,J.L.","CSIRO, Australian Animal Health Laboratory",Australia,2011-05-09,,Alphainfluenzavirus influenzae,1410,complete,Belgium,,Homo sapiens,,2002-04-02
PV624831.1,enterovirus D68,GenBank,,"Fall,A., Abdullah,O., Norton,J.M., Mostafa,H.H.","Johns Hopkins School of Medicine, Molecular Virology",USA,2025-05-14,JH-EV-39/2024,Enterovirus D,7299,complete,USA: MD,MD,Homo sapiens,oronasopharynx,2024
FJ375128.1,Human bocavirus isolate SH2,GenBank,set:FJ375128,"Shan,T.L., Zhang,W., Guo,W., Cui,L., Yuan,C.L., Dai,X.Q., Shen,Q., Yang,Z.B., Zhu,J.G., Hua,X.G., Huan,X.G., Li,C.","Shanghai Key Laboratory of Veterinary Biotechnology, School of Agriculture and Biology",China,2011-10-31,SH2,Human bocavirus,5277,complete,China,,Homo sapiens,,2008-06
MH172377.1,Human papillomavirus type 220,GenBank,set:MH172377,"Murahwa,A.T., Meiring,T.L., Mbulawa,Z.Z.A., Williamson,A.-L.","University of Cape Town, Pathology",South Africa,2018-05-20,CT08,Human papillomavirus type 220,7381,complete,South Africa,,Homo sapiens,,2007
OP712024.1,human papillomavirus 81,GenBank,,"Coppee,R., Ferre,V.M., Gbeasor-Komlanvi,F.A., Vacher,S., Bucau,M., Salou,M., Lameiras,S., Couvelard,A., Claver Dagnra,A., Bieche,I., Descamps,D., Ekouevi,D.K., Ghosn,J., Charpentier,C.","Universite Paris Cite, Inserm UMR1137",France,2023-11-24,V521R495_HPV81,Alphapapillomavirus 3,8070,complete,Togo,,Homo sapiens,,2017-08
OR835191.2,Measles virus genotype A,GenBank,,"Vaidya,S.R., Bhattad,D.R., Kamble,M.B., Bobitty,D., Sreedeep,K.S.","National Institute of Virology, Virus Registry and Virus Repository",India,2024-05-31,,Morbillivirus hominis,15894,complete,India,,Homo sapiens,brain,2022-09-21
NC_022518.1,Human endogenous retrovirus K113,RefSeq,GCF_000913595.1,"Turner,G., Barbulescu,M., Su,M., Jensen-Seaman,M.I., Kidd,K.K., Lenz,J.","National Center for Biotechnology Information, NIH",USA,2013-09-30,,Human endogenous retrovirus K,9472,complete,,,Homo sapiens,,
KJ942736.1,Influenza A virus (A/reassortant/NYMC X-221(A/Puerto Rico/8/1934 x A/Ohio/2/2012)(H3N2)),GenBank,set:fe32a3acdde770605dabb76fce46e17e8505af90,"Wentworth,D.E., Halpin,R.A., Bera,J., Akopov,A., Ransier,A., Mohan,M., Fedorova,N., Tsitrin,T., Puri,V., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Kumar,M., Bucher,D.",J. Craig Venter Institute,USA,2014-07-13,,Alphainfluenzavirus influenzae,1762,complete,,,Homo sapiens,,
AB933756.1,Norovirus Hu/GII.4/Saga3/2009/JP,GenBank,set:AB933756,"Sato,H., Yokoyama,M., Motomura,K., Nakamura,H.","Pathogen Genomics Center; Gakuen 4-7-1, Musashi-Murayama, Tokyo 208-0011",Japan,2015-09-02,,Norwalk virus,7509,complete,Japan:Saga,,Homo sapiens,feces,2009
LC209459.1,Norovirus Hu/GII/JP/2010/GII.P16_GII.2/Kanagawa-51,GenBank,set:LC209459,"Mizukoshi,F., Nagasawa,K., Doan,Y.H., Haga,K., Yoshizumi,S., Ueki,Y., Shinohara,M., Ishikawa,M., Sakon,N., Shigemoto,N., Okamoto-Nakagawa,R., Ochi,A., Murakami,K., Ryo,A., Suzuki,Y., Katayama,K., Kimura,H., Matsushima,Y.","Division of Virology; Tonomachi 3-25-13, Kawasaki-ku, Kawasaki, Kanagawa 210-0821",Japan,2017-12-14,,Norwalk virus,7524,complete,Japan: Kanagawa,,Homo sapiens,feces,2010
HQ141604.1,SFTS virus JS4,GenBank,set:0b75073f894b12b0d0c3c29d9e43402115e7d57a,"Sun,Y.L., Liang,M.F., Li,C., Li,J.D., Zhang,Q.F., Lu,J., Qu,J., Wu,W., Wang,H., Li,D.X.","National Institute for Viral Diseases Control and Prevention, Department of Viral Hemorrhagic Fever",China,2011-03-09,,SFTS phlebovirus,6368,complete,China,,Homo sapiens,blood,2010-08-12
MG572486.1,Influenza A virus (A/Changsha/72/2017(H7N9)),GenBank,set:974befa36c5233335cfda939bf50dcb364b1c8c2,"Huang,Z., Ou,X.","CDC, Microbiology",China,2018-12-22,,Alphainfluenzavirus influenzae,2280,complete,China: Changsha,,Homo sapiens,oronasopharynx,2017-04-20
OM001437.1,rhinovirus C36,GenBank,,"Greninger,A.L., Xie,H., Cruz,K., Sereewit,J., Phung,Q., Lin,M.J.","UW Virology, DLMP",USA,2022-01-04,,Rhinovirus C,7026,complete,USA,,Homo sapiens,,2021
KX088385.1,Influenza A virus (A/Van/01/2015(H1N1)),GenBank,set:0c13f4019c73a207195144d32b51ae8786e5e0bc,"Bakkaloglu,Z., Altas,B., Coskun-Ari,F.F., Bayrakdar,F., Unaldi,O., Korukluoglu,G., Guldemir,D., Aktas,A.R., Durmaz,R.","Public Health Institution of Turkey, Molecular Microbiology Reference Laboratories",Turkey,2016-05-15,,Alphainfluenzavirus influenzae,1701,complete,Turkey,,Homo sapiens,oronasopharynx,2015-12-14
OQ842415.1,Echovirus E16,GenBank,,"Sereewit,J., Hajian,P., Xie,H., Greninger,A.L.","UW Virology, Laboratory Medicine",USA,2023-05-16,E16/USA/6O10/2010,Enterovirus B,7418,complete,USA,,Homo sapiens,,2010-08
KY369894.1,rhinovirus A82,GenBank,set:KY369894,"Greninger,A.L., Makhsous,N., Kuypers,J.M., Shean,R.C., Jerome,K.R.","UW, Lab Medicine",USA,2017-01-15,,Rhinovirus A,7033,complete,USA,,Homo sapiens,,2016
JQ624642.1,Influenza A virus (A/Sydney/IM1/2011(H1N1)),GenBank,set:625be82b31c3acacf202ba2d6c121249908f18ef,"Wang,B., Dwyer,D.E., Saksena,N.K.","University of Sydney, Westmead Millennium Institute",Australia,2012-03-12,,Alphainfluenzavirus influenzae,1721,complete,Australia,,Homo sapiens,,2011-08-03
KR260718.1,Mammarenavirus guanaritoense,GenBank,set:7f5fdbc13aff093971b65d32f09171cdd74951a4,"Aguilar,P.V., Tesh,R.B., Ksaizek,T.G., Lin,D., Hari,K., Weaver,S.C.","University of Texas Medical Branch, Microbiology and Immunology",USA,2015-09-19,,Mammarenavirus guanaritoense,3345,complete,Australia,,Homo sapiens,,2008-01-01
KC175394.1,Norovirus Hu/Norwalk/20035/2009/VNM,GenBank,set:KC175394,"Madupu,R., Halpin,R.A., Ransier,A., Fedorova,N., Tsitrin,T., McLellan,M., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., My,P.V., Campbell,J., Farrar,J., Vinh,H., Hoang,N.V., Wentworth,D.E., Baker,S.",J. Craig Venter Institute,USA,2012-11-25,,Norwalk virus,7511,complete,Viet Nam: Ho Chi Minh City,,Homo sapiens,,2009-06-01
LR861883.1,Human papillomavirus type 55,GenBank,,"Wienecke-Baldacchino K,A.","Laboratoire National de Sante, Epidemiology and Microbial Genomics, 1, Rue Louis Rech, 3555 Dudelange",Luxembourg,2020-09-01,LNS3830231_HPV44,Alphapapillomavirus 10,7822,complete,Luxembourg,,Homo sapiens,,
KC292274.1,SFTS virus HNXY_188,GenBank,set:565f2b2795f1e25c4e52194560a5c460026a089e,"Liu,W., Lu,Q.B., Cui,N., Li,H., Wang,L.Y., Liu,K., Yang,Z.D., Wang,B.J., Wang,H.Y., Zhang,Y.Y., Zhuang,L., Hu,C.Y., Yuan,C., Fan,X.J., Wang,Z., Zhang,L., Zhang,X.A., Walker,D.H., Cao,W.C., Lu,Q.","State Key Laboratory of Pathogen and Biosecurity, Beijing Institute of Microbiology and Epidemiology",China,2013-04-15,,SFTS phlebovirus,1744,complete,"China: Henan, Xinyang",,Homo sapiens,,
KC020380.1,Influenza B virus (B/Cambodia/V1005378/2011),GenBank,set:667923c9e119bbbb0c8b22cdbe5b36d9af8ed30e,"Buchy,P.","Instiutut Pasteur in Cambodia, Virology",Cambodia,2013-05-01,,Betainfluenzavirus influenzae,1808,complete,Cambodia: Phnom Penh,,Homo sapiens,,2011-09-30
KM985444.1,Influenza A virus (A/Thrissur/MCVR1402/2009(H1N1)),GenBank,set:ccabb3aee52bc083f165410a750f3647dc1019b9,"Anitha,J., Arunkumar,G., Ajees,A.","Manipal University, Manipal Centre for Virus Research",India,2014-11-12,,Alphainfluenzavirus influenzae,1410,complete,India,,Homo sapiens,oronasopharynx,2009-10-30
NC_012801.1,Human cosavirus B,RefSeq,GCF_000884955.1,"Kapoor,A., Victoria,J., Simmonds,P., Slikas,E., Chieochansin,T., Naeem,A., Shaukat,S., Sharif,S., Alam,M.M., Angez,M., Wang,C., Shafer,R.W., Zaidi,S., Delwart,E.","National Center for Biotechnology Information, NIH",USA,2009-06-11,2263,Cosavirus B,7205,complete,Pakistan,,Homo sapiens,feces,
LN854571.1,Norovirus GII/Hu/NL/2012/GII.4/Nijmegen01,GenBank,set:LN854571,"Bavelaar,H., Rahamat-Langendoen,J., Niesters,H.G.M., Zoll,J., Melchers,W.J.G.","Medical Microbiology, RADBOUDUMC, PO Box 9101, 6500 HB Nijmegen",Netherlands,2015-06-12,,Norwalk virus,7559,complete,,,Homo sapiens,,
MZ546176.1,Norovirus sp.,GenBank,,"Yang,S., He,Y., Zhang,J., Zhang,D., Wang,Y., Lu,X., Wang,X., Shen,Q., Ji,L., Lu,H., Zhang,W., Li,H.","Jiangsu University, School of Medicine",China,2021-08-23,,Norovirus sp.,7379,complete,China,,Homo sapiens,feces,2016
KC244110.1,Influenza B virus (B/Beijing-Xicheng/11496/2011),GenBank,set:7cbf697746c1288b00e3428ccf730cb032acc197,"Wang,D., Sleeman,K., Huang,W., Nguyen,H.T., Levine,M., Cheng,Y., Li,X., Tan,M., Xing,X., Xu,X., Klimov,A.I., Gubareva,L.V., Shu,Y., Lan,Y., Zhao,X., Chen,Y., Wei,H., Guo,J.","National Institute for Viral Disease Control and Prevention, China CDC, Chinese National Influenza Center",China,2013-01-07,,Betainfluenzavirus influenzae,1408,complete,China: Beijing,,Homo sapiens,,2011-09
HQ325765.1,Influenza A virus (A/Sydney/419J/2004(H3N2)),GenBank,set:174376467c6f4d7cb5641f9f12be919a4f186b4f,"Wong,K.K., Bull,R.A., Stelzer-Braid,S., Fennell,M., Rawlinson,W., Wong,K.Y., Bull,R.","Prince of Wales Hospital, Virology Divison, Department of Microbiology",Australia,2011-05-27,,Alphainfluenzavirus influenzae,2280,complete,Australia,,Homo sapiens,,2004-08-31
OM735630.1,Rubella virus genotype 1D,GenBank,,"Chen,M.-H., Suppiah,S., Abernathy,E., Icenogle,J.","Centers for Disease Control and Prevention, Viral Vaccine Preventable Diseases Branch",USA,2023-01-17,,Rubivirus rubellae,9762,complete,Japan,,Homo sapiens,,1994
EU382985.1,Influenza A virus (A/Guangzhou/665/2006(H1N1)),GenBank,set:c3511a7412ddec9dce3f366cb799ee7958888ad6,"Jiang,L.-F., Tian,J., Di,B., Fang,D.-Y., Zhou,H., Zhou,J.-J., Fu,J., He,L.-J., Chen,Y.-Y., Yan,H.-J., Zhou,J.-M., Liang,Y.","Zhongshan Medical College, Sun Yat-sen University, Department of Microbiology",,2008-12-31,,Alphainfluenzavirus influenzae,1775,complete,China,,Homo sapiens,,
MF509821.1,Human papillomavirus type 216,GenBank,set:MF509821,"Murahwa,A.T., Mbulawa,Z.Z.A., Williamson,A.-L., Meiring,T.L.","University of Cape Town, Pathology",South Africa,2017-12-12,CT12_N,Human papillomavirus type 216,7233,complete,South Africa,,Homo sapiens,,2007
KF551078.1,Influenza A virus (A/Ontario/029/2012(H3N2)),GenBank,set:ddba534fb22ad320a8e3936b9473c243614e711d,"Skowronski,D.M., Janjua,N.Z., Sabaiduc,S., De Serres,G., Winter,A.L., Gubbay,J.B., Dickinson,J.A., Fonseca,K., Charest,H., Bastien,N., Li,Y., Kwindt,T.L., Mahmud,S.M., Van Caeseele,P., Krajden,M., Petric,M., Eshaghi,A., Rosenfeld,P., Li,A., Olsha,R.","Ontario Agency for Health Protection and Promotion, Molecular Research",Canada,2013-09-21,,Alphainfluenzavirus influenzae,1701,complete,Canada: Ontario,,Homo sapiens,,2012-04-27
LC209470.1,Norovirus Hu/GII/JP/2014/GII.P16_GII.2/Hiroshima-30,GenBank,set:LC209470,"Mizukoshi,F., Nagasawa,K., Doan,Y.H., Haga,K., Yoshizumi,S., Ueki,Y., Shinohara,M., Ishikawa,M., Sakon,N., Shigemoto,N., Okamoto-Nakagawa,R., Ochi,A., Murakami,K., Ryo,A., Suzuki,Y., Katayama,K., Kimura,H., Matsushima,Y.","Division of Virology; Tonomachi 3-25-13, Kawasaki-ku, Kawasaki, Kanagawa 210-0821",Japan,2017-12-14,,Norwalk virus,7515,complete,Japan: Hiroshima,,Homo sapiens,feces,2014
MN115377.1,Barmah Forest virus,GenBank,set:MN115377,"Caly,L., Horwood,P.F., Vijaykrishna,D., Lynch,S., Greenhill,A.R., Pomat,W., Rai,G., Kisa,D., Bande,G., Druce,J., Abdad,M.Y.","Doherty Institute, Victorian Infectious Diseases Reference Laboratory",Australia,2019-12-09,PNG,Alphavirus barmah,11480,complete,Papua New Guinea,,Homo sapiens,,2014-04
JQ431203.1,Influenza A virus (A/Reunion/2154-2-M5E/2009(H1N1)),GenBank,GCA_038555025.1,"Pascalis,H., Temmam,S., Wilkinson,D.A., Dsouli,N., Turpin,M., de Lamballerie,X., Dellagi,K.",CRVOI,France,2012-09-15,,Alphainfluenzavirus influenzae,1701,complete,France: Reunion Island,,Homo sapiens,oronasopharynx,2009-09-05
OR726589.1,Coxsackievirus A21,GenBank,,"Sereewit,J., Kong,K., Xie,H., Roychoudhury,P., Greninger,A.L.","UW Medicine Laboratory Medicine and Pathology, Virology Division",USA,2023-11-12,,Enterovirus C,7392,complete,USA: WA,WA,Homo sapiens,oronasopharynx,2019-10
OP711963.1,human papillomavirus 67,GenBank,,"Coppee,R., Ferre,V.M., Gbeasor-Komlanvi,F.A., Vacher,S., Bucau,M., Salou,M., Lameiras,S., Couvelard,A., Claver Dagnra,A., Bieche,I., Descamps,D., Ekouevi,D.K., Ghosn,J., Charpentier,C.","Universite Paris Cite, Inserm UMR1137",France,2023-11-24,L324R553_HPV67,Alphapapillomavirus 9,7809,complete,Togo,,Homo sapiens,,2017-08
MH427642.1,Gemycircularvirus CN-GZ1,GenBank,set:MH427642,"Wang,J., Li,Y., He,X., Ma,J., Hong,W., Hu,F., Zhao,L., Li,Q., Zhang,J., Zhang,C., Zhang,F.","Institut Pasteur of Shanghai, Chinese Academy of Science, Pathogen Discovery and Big Data Center",China,2019-05-29,,Gemycircularvirus CN-GZ1,2200,complete,China,,Homo sapiens,oronasopharynx,2017-01-20
